InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,1
1100,0,1
1200,0,1
1300,0,1
1400,1,1
1500,2,1
1600,1,2
1700,1,2
1800,1,2
1900,1,2
2000,1,2
2100,1,2
2200,1,3
2300,2,3
2400,2,3
2500,2,4
2600,2,4
2700,2,4
2800,2,4
2900,2,5
3000,2,5
3100,3,5
3200,3,6
3300,3,6
3400,5,7
3500,4,8
3600,4,9
3700,4,8
3800,4,10
3900,5,9
4000,6,9
4100,5,11
4200,5,11
4300,5,12
4400,5,11
4500,6,11
4600,6,12
4700,6,13
4800,7,14
4900,7,14
5000,7,14
5100,7,16
5200,8,16
5300,8,17
5400,8,18
5500,9,18
5600,9,19
5700,9,22
5800,10,20
5900,10,21
6000,11,23
6100,12,22
6200,11,23
6300,12,24
6400,12,25
6500,13,26
6600,13,26
6700,14,28
6800,14,29
6900,15,29
7000,15,30
7100,16,32
7200,16,32
7300,16,33
7400,16,35
7500,17,35
7600,17,36
7700,18,36
7800,19,37
7900,20,38
8000,19,40
8100,20,42
8200,20,41
8300,21,44
8400,23,44
8500,23,46
8600,25,47
8700,24,48
8800,25,49
8900,25,50
9000,26,51
9100,26,53
9200,27,53
9300,34,54
9400,27,57
9500,29,57
9600,29,60
9700,31,59
9800,33,62
9900,30,63
10000,31,63
10100,32,66
10200,33,67
10300,46,68
10400,53,69
10500,40,73
10600,59,77
10700,41,74
10800,39,78
10900,38,83
11000,37,79
11100,42,79
11200,40,80
11300,43,84
11400,43,87
11500,43,87
11600,44,87
11700,46,88
11800,49,91
11900,51,91
12000,45,94
12100,46,94
12200,49,99
12300,48,99
12400,63,103
12500,56,103
12600,50,103
12700,52,107
12800,60,107
12900,58,108
13000,60,110
13100,59,112
13200,58,113
13300,61,117
13400,60,122
13500,63,119
13600,58,121
13700,59,123
13800,63,125
13900,66,126
14000,65,131
14100,67,131
14200,67,161
14300,72,157
14400,71,139
14500,74,144
14600,69,151
14700,74,143
14800,74,146
14900,73,149
15000,72,160
15100,73,162
15200,73,156
15300,75,169
15400,78,201
15500,79,196
15600,78,167
15700,81,183
15800,82,220
15900,81,235
16000,81,182
16100,90,217
16200,87,234
16300,92,221
16400,94,246
16500,94,189
16600,90,219
16700,91,221
16800,95,189
16900,105,207
17000,123,191
17100,101,247
17200,108,206
17300,109,203
17400,108,207
17500,111,206
17600,110,204
17700,107,210
17800,148,209
17900,110,212
18000,135,214
18100,149,219
18200,133,221
18300,120,231
18400,119,227
18500,115,225
18600,115,230
18700,117,235
18800,116,233
18900,118,237
19000,120,239
19100,122,244
19200,126,255
19300,126,253
19400,126,248
19500,127,252
19600,145,255
19700,136,259
19800,137,260
19900,134,262
