InputIndices,TestResults
0,0
100,0
200,1
300,1
400,1
500,0
600,1
700,1
800,1
900,1
1000,2
1100,2
1200,2
1300,2
1400,2
1500,2
1600,2
1700,3
1800,2
1900,3
2000,3
2100,4
2200,4
2300,4
2400,4
2500,4
2600,5
2700,4
2800,4
2900,5
3000,4
3100,5
3200,5
3300,6
3400,6
3500,5
3600,6
3700,6
3800,6
3900,6
4000,7
4100,6
4200,6
4300,7
4400,7
4500,7
4600,7
4700,8
4800,7
4900,8
5000,9
5100,9
5200,9
5300,8
5400,9
5500,8
5600,8
5700,9
5800,9
5900,10
6000,9
6100,10
6200,10
6300,10
6400,10
6500,11
6600,11
6700,11
6800,11
6900,12
7000,12
7100,11
7200,12
7300,15
7400,12
7500,13
7600,19
7700,13
7800,13
7900,14
8000,13
8100,14
8200,14
8300,14
8400,14
8500,14
8600,14
8700,15
8800,15
8900,15
9000,15
9100,16
9200,17
9300,16
9400,15
9500,16
9600,16
9700,16
9800,16
9900,17
10000,20
10100,19
10200,19
10300,19
10400,19
10500,18
10600,18
10700,18
10800,18
10900,18
11000,17
11100,18
11200,20
11300,17
11400,17
11500,17
11600,17
11700,16
11800,16
11900,15
12000,15
12100,15
12200,17
12300,19
12400,18
12500,20
12600,15
12700,15
12800,14
12900,14
13000,14
13100,13
13200,14
13300,14
13400,13
13500,12
13600,13
13700,14
13800,11
13900,11
14000,10
14100,11
14200,10
14300,10
14400,9
14500,9
14600,9
14700,8
14800,9
14900,8
15000,8
15100,7
15200,8
15300,7
15400,7
15500,7
15600,7
15700,45
15800,79
15900,18
16000,7
16100,7
16200,6
16300,8
16400,7
16500,6
16600,6
16700,7
16800,6
16900,5
17000,5
17100,6
17200,6
17300,5
17400,45
17500,5
17600,4
17700,6
17800,4
17900,4
18000,4
18100,3
18200,3
18300,3
18400,4
18500,3
18600,3
18700,2
18800,1
18900,1
19000,2
19100,2
19200,1
19300,2
19400,1
19500,1
19600,1
19700,0
19800,0
19900,0
